stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi_B,daily_phi_S,A_mean_so_far,B_end,S_end,F_end,A_end,KFB_end,KFS_end,t_slice_phi,t_plant_rollout,t_accumulate,t_window_grid,t_filter,t_xhat,t_replan,t_postlog
11,24.29486107826233,6,0,0.59834653,0.54507893,0.5862536800940177,0.49136977400886106,0.4308290283866931,0.321464750898269,0.6970217267076562,0.06930866089678274,0.08103592558799731,0.0,1.4066696166992188e-5,1.5974044799804688e-5,9.5367431640625e-7,24.294689893722534,5.1975250244140625e-5,0.0,1.1920928955078125e-6
12,276.54406809806824,5,5,0.56610435,0.50982517,0.5963979468878868,0.4986851566372616,0.4327755073549666,0.3264410372145259,0.7097614507182929,0.07105734621968007,0.08057818867850058,9.5367431640625e-7,2.5033950805664062e-5,1.5020370483398438e-5,2.1457672119140625e-6,18.152785778045654,6.222724914550781e-5,258.3909559249878,7.152557373046875e-6
13,19.57736301422119,5,0,0.6036355,0.4924024,0.6064223799759584,0.5006173476946538,0.4298142768918978,0.3315666014260542,0.7392087221834864,0.07335672940792655,0.0806483518331708,9.5367431640625e-7,1.4066696166992188e-5,1.1920928955078125e-5,9.5367431640625e-7,19.577204942703247,4.8160552978515625e-5,0.0,1.1920928955078125e-6
14,284.72215604782104,6,5,0.57539684,0.46292138,0.6156467034840113,0.5021602625829906,0.42378182238605755,0.3405684242469733,0.7385474284797442,0.07276153161879935,0.08157059530307183,1.1920928955078125e-6,2.47955322265625e-5,1.621246337890625e-5,9.5367431640625e-7,23.52332901954651,7.486343383789062e-5,261.1984829902649,6.9141387939453125e-6
15,24.062423944473267,6,0,0.5687553,0.50036925,0.6242521139928207,0.49796143213726735,0.4246283620068148,0.3359178032087777,0.7570081934047544,0.07412456129340854,0.08181625846552586,0.0,1.4066696166992188e-5,1.5020370483398438e-5,9.5367431640625e-7,24.062258005142212,4.792213439941406e-5,0.0,9.5367431640625e-7
16,281.91232204437256,6,5,0.53914946,0.46668074,0.6327687218911543,0.4971705147223217,0.4190886677268138,0.3363409385664937,0.7555291462544395,0.07562143138526989,0.08244355919890362,0.0,2.6941299438476562e-5,1.621246337890625e-5,9.5367431640625e-7,22.085087060928345,4.792213439941406e-5,259.82684993743896,1.3113021850585938e-5
17,27.568294048309326,7,0,0.5990812,0.54311556,0.6403131402274631,0.4888828341825271,0.41979448767918787,0.33334876864307905,0.7560561597239858,0.07603403371299673,0.08523886912088839,9.5367431640625e-7,3.409385681152344e-5,2.5033950805664062e-5,1.9073486328125e-6,27.56809902191162,4.887580871582031e-5,0.0,9.5367431640625e-7
18,279.2010979652405,5,5,0.5672342,0.5073605,0.6480177102252248,0.4824505615777393,0.41402379570691594,0.33449147547947405,0.7964107538326957,0.07600590056058928,0.08608852039637983,9.5367431640625e-7,2.5033950805664062e-5,2.002716064453125e-5,1.9073486328125e-6,19.827583074569702,6.890296936035156e-5,259.373162984848,8.106231689453125e-6
19,23.79942512512207,6,0,0.61020464,0.5243619,0.6560809106419314,0.4769756195932193,0.4140950208778732,0.33344982681843527,0.7949222612700387,0.07426791733093628,0.0854317413575425,9.5367431640625e-7,1.4066696166992188e-5,1.5974044799804688e-5,9.5367431640625e-7,23.799264192581177,4.982948303222656e-5,0.0,1.1920928955078125e-6
20,284.28227400779724,6,5,0.57819515,0.49098992,0.6634466456687497,0.4770571410846265,0.4172966028752496,0.3298065394965681,0.8074758978567779,0.07385780055520788,0.08437080861415189,9.5367431640625e-7,2.9087066650390625e-5,1.8835067749023438e-5,9.5367431640625e-7,23.675655841827393,4.7206878662109375e-5,260.6063299179077,7.152557373046875e-6
21,22.76683807373047,6,0,0.60479337,0.5494093,0.6703853287555986,0.4820893241356941,0.41879592873733784,0.3329456444722512,0.815125612354513,0.0745789005075014,0.0834789643320897,0.0,1.4066696166992188e-5,1.811981201171875e-5,9.5367431640625e-7,22.766613006591797,6.985664367675781e-5,0.0,1.9073486328125e-6
22,336.16457509994507,6,6,0.5775882,0.51628655,0.6772798627396868,0.4808617089139708,0.41267651374831754,0.33530684554042006,0.8316103246524911,0.07673804863097564,0.08496203099797353,1.1920928955078125e-6,4.291534423828125e-5,3.0040740966796875e-5,1.9073486328125e-6,23.523733139038086,4.792213439941406e-5,312.6404712200165,1.0013580322265625e-5
23,24.19755792617798,6,0,0.55809635,0.5272967,0.6852829061087995,0.47914317051475674,0.4117827715918245,0.3318878125566815,0.8764422553682376,0.07554121208242295,0.08789616006476803,1.1920928955078125e-6,2.6941299438476562e-5,2.288818359375e-5,9.5367431640625e-7,24.197365045547485,5.0067901611328125e-5,0.0,9.5367431640625e-7
24,333.8585681915283,6,6,0.52629524,0.4929382,0.6933517274199027,0.47218129379466417,0.4123837834532653,0.32628991505250565,0.8844229723963624,0.0754548198179539,0.08732108204124699,1.1920928955078125e-6,2.5987625122070312e-5,2.5033950805664062e-5,1.9073486328125e-6,22.228867053985596,7.200241088867188e-5,311.62929105758667,1.0013580322265625e-5
25,25.36614990234375,6,0,0.56809705,0.46911082,0.7009634266172543,0.4697055714630864,0.4123982954955662,0.32146652207517024,0.8943487072155006,0.07652989163282617,0.09032921745337999,9.5367431640625e-7,2.8133392333984375e-5,2.7894973754882812e-5,1.9073486328125e-6,25.36590313911438,7.104873657226562e-5,0.0,1.9073486328125e-6
26,282.8296980857849,6,5,0.53748935,0.43764138,0.7083926111533998,0.4684082058081744,0.41291930416083794,0.32055377772284177,0.9081095245794004,0.07634959410653845,0.09001629619610571,9.5367431640625e-7,3.814697265625e-5,3.0994415283203125e-5,2.86102294921875e-6,23.801838159561157,7.295608520507812e-5,259.0274591445923,8.106231689453125e-6
27,24.23496103286743,6,0,0.6146467,0.5242094,0.7156770390629618,0.46527024865985744,0.40906883503486385,0.32224385148405055,0.9086202076656884,0.0763157605629194,0.0894534731521553,0.0,1.5020370483398438e-5,2.002716064453125e-5,9.5367431640625e-7,24.234785079956055,5.2928924560546875e-5,0.0,9.5367431640625e-7
28,285.7276430130005,6,5,0.5871733,0.49299565,0.7221781001900635,0.46119503259017036,0.4064251804441052,0.32084657795551447,0.8920942325596221,0.07519112376155959,0.0898900078728719,9.5367431640625e-7,2.5033950805664062e-5,2.9087066650390625e-5,1.9073486328125e-6,23.941844940185547,7.200241088867188e-5,261.7853829860687,9.059906005859375e-6
