stride_idx,level,beta_pre,beta_post,delta_beta,beta_max,ess_at_dbeta_chosen,n_smc,theta_dim,chees_L_chosen,chees_score_best,chees_L_candidates,chees_scores,eps_step_size,n_mcmc_moves,total_accepts,accept_frac,log_density_pre_mean,log_density_post_mean,delta_log_density,esjd_total,esjd_per_eps_L,wall_seconds_level
176,1,0.0,0.00856860184048866,0.00856860184048866,0.06028731089491319,64.00000002740902,128,16,16,29.78479021941998,16;32;64;128,29.78479021941998;10.615333432558257;6.878693306923185;1.5945277371500512,0.2,2,237,0.92578125,-159.19098126361496,-33.79275056550978,125.39823069810518,47.986358430501404,14.995737009531688,6.32040810585022
176,2,0.00856860184048866,0.0206260640194713,0.01205746217898264,0.06028731089491319,86.12445206974002,128,16,16,21.190750440742416,16;32;64;128,21.190750440742416;13.040285242697408;5.940537680205904;1.304309099927163,0.2,2,209,0.81640625,-33.79275056550978,27.780218293366488,61.572968858876266,52.6232566339171,16.444767698099092,6.361325025558472
176,3,0.0206260640194713,0.03268352619845394,0.01205746217898264,0.06028731089491319,111.30947361947351,128,16,16,24.45576261144684,16;32;64;128,24.45576261144684;9.566305946096744;4.794965846290682;1.0783142132980534,0.2,2,218,0.8515625,27.780218293366488,44.81750561943045,17.03728732606396,41.574085192424995,12.99190162263281,6.35919189453125
176,4,0.03268352619845394,0.04474098837743658,0.01205746217898264,0.06028731089491319,120.80526613769443,128,16,16,20.199946031268137,16;32;64;128,20.199946031268137;7.333591652817517;2.7091538365765016;0.22281935120279725,0.2,2,206,0.8046875,44.81750561943045,51.29639645386487,6.478890834434424,41.15315667228842,12.86036146009013,6.312159061431885
176,5,0.04474098837743658,0.05679845055641922,0.01205746217898264,0.06028731089491319,123.50316315666174,128,16,16,16.36905694146964,16;32;64;128,16.36905694146964;8.325752172984263;2.929805760662602;0.21951615532331428,0.2,2,212,0.828125,51.29639645386487,56.10812302096747,4.811726567102596,44.07580923989562,13.773690387467381,6.287341117858887
176,6,0.05679845055641922,0.06028731089491319,0.0034888603384939723,0.06028731089491319,127.6400120575164,128,16,16,22.2593875112424,16;32;64;128,22.2593875112424;7.312103176810299;3.1804040173747747;0.7491209185053778,0.2,2,217,0.84765625,56.10812302096747,56.812796827289276,0.7046738063218072,40.46053245090146,12.643916390906705,6.282904148101807
178,1,0.0,0.010253182766754956,0.010253182766754956,0.06580747170437977,64.00000000519262,128,16,16,37.969956981740324,16;32;64;128,37.969956981740324;13.380928566136733;7.992115693886371;1.4185086339203394,0.2,2,237,0.92578125,-112.173015263048,-5.283549653169757,106.88946560987824,45.847563753898626,14.32736367309332,6.338685989379883
178,2,0.010253182766754956,0.023414677107630913,0.013161494340875957,0.06580747170437977,88.57551463354959,128,16,16,14.173679965612079,16;32;64;128,14.173679965612079;7.634960613584689;2.281209302988857;1.514686381028755,0.2,2,218,0.8515625,-5.283549653169757,51.06591134351038,56.349460996680136,48.34976764739327,15.109302389810397,6.340098857879639
178,3,0.023414677107630913,0.03657617144850687,0.013161494340875955,0.06580747170437977,118.0537499546501,128,16,16,17.58764643884988,16;32;64;128,17.58764643884988;6.240890564033089;4.799430448458433;0.5338015563172895,0.2,2,212,0.828125,51.06591134351038,59.197942208498716,8.132030864988337,49.430786468387474,15.447120771371084,6.324570894241333
178,4,0.03657617144850687,0.04973766578938282,0.013161494340875955,0.06580747170437977,123.132808578682,128,16,16,12.528087781812092,16;32;64;128,12.528087781812092;4.876249399528449;3.3199464778276915;0.9145311094540494,0.2,2,224,0.875,59.197942208498716,63.060004844213836,3.8620626357151195,44.017109251362136,13.755346641050666,6.334269046783447
