stride,t_wall_s,n_temp_filter,n_temp_ctrl,daily_phi_B,daily_phi_S,A_mean_so_far,B_end,S_end,F_end,A_end,KFB_end,KFS_end
96,45.88203716278076,6,6,0.20719278,0.13898452,0.8628010594378517,0.2646143267191531,0.2538194059912193,0.0818659595900463,0.8204975743454989,0.0443303152079272,0.06366319600355967
97,6.784936189651489,5,0,0.21990454,0.1996723,0.8623476419355521,0.26611407972525314,0.25482553983923445,0.08285180802301846,0.8151329344882804,0.04430603655264107,0.06500094311608491
98,44.86469006538391,5,6,0.21817313,0.19693696,0.8617495746424443,0.2648868702890402,0.2531411965715647,0.08234740363647672,0.7924187370758949,0.04364041802537406,0.06333073982742296
99,7.981198072433472,6,0,0.18417723,0.15915601,0.8610421704817921,0.26862725720832614,0.25169208655031566,0.07908439357676562,0.7894106631237228,0.04496732364732854,0.0641397984974299
100,44.59615087509155,5,6,0.18240617,0.15667938,0.8603253546448187,0.26966310577095454,0.25006633335848377,0.07904234760856553,0.7798133793887697,0.04501640023896024,0.06456618762583648
101,6.747521162033081,5,0,0.25404552,0.15522845,0.8596080664146887,0.26904550557543916,0.24985497560553932,0.07867012569152848,0.7956273478952213,0.04369854866374952,0.06526165726425186
102,38.58435010910034,5,5,0.2514619,0.15258965,0.858983720887217,0.2649757980242483,0.24497741421223632,0.08140894654151834,0.7942682307259595,0.04296864743193384,0.06566610991568911
103,8.367979049682617,6,0,0.23430787,0.1484293,0.8584641941240179,0.26166397509787354,0.24787868479808756,0.07934870498776031,0.8111030348494295,0.043422783804392524,0.06430213236331414
104,44.64164209365845,5,6,0.23262401,0.14633669,0.8580228876578053,0.2593789188464454,0.24560676559953135,0.07857121428935253,0.8179100081647593,0.044112175034498664,0.06578634515282743
105,6.6888439655303955,5,0,0.21677428,0.15375103,0.8576680177318647,0.25598384997002244,0.24436248696037868,0.07968603415992481,0.8139194809642193,0.04472464800960907,0.06467317742960518
106,44.93062710762024,5,6,0.2151934,0.15153609,0.8572728839687089,0.2523656182943019,0.24525924161756502,0.08226975957464355,0.8242647777138732,0.04529100871236841,0.06332792741651334
107,6.631989002227783,5,0,0.22499555,0.1845054,0.8568325193432248,0.24930139963981662,0.24077562532584235,0.07972834985344214,0.7953958395256115,0.045474089885637836,0.06307291381309667
108,44.85647892951965,5,6,0.22380328,0.1826272,0.8563333429502942,0.24509762986002456,0.23971676776514747,0.07648912693822844,0.799533829774512,0.04652010563272513,0.06310305373266388
109,7.737091064453125,6,0,0.2352358,0.1544361,0.8558018000483071,0.24194325591974764,0.23629930462368728,0.07283767432932312,0.7921779246171864,0.04603429446105874,0.0627040542113868
110,44.59303689002991,5,6,0.23414338,0.15170603,0.8551531001720195,0.2462539233980559,0.23603161445489113,0.07606985064662727,0.786803807575738,0.04591712495333726,0.0630621923074383
111,6.658239841461182,5,0,0.2301995,0.17031628,0.8545504035937292,0.2563673857215465,0.2374747671015007,0.07627805341185223,0.7826030105979663,0.046350923965763,0.06314964381792969
112,38.777361154556274,5,5,0.22848964,0.16775428,0.8539388890589876,0.2526525776347097,0.23531824772943757,0.07939168194216957,0.793749780327973,0.04776016136554115,0.06192768549434041
113,6.8244240283966064,5,0,0.23140907,0.15872881,0.8534265446844141,0.25250339876990324,0.23634983637277107,0.08342192315105676,0.7939102809255725,0.04966766025247854,0.06386849834286143
